psi1= 293.9465603322478	psi2= 316.3393028469002	psi3= 334.144183068755	psi4= 316.60715731032894	psi5= 366.42485927784406	psi6= 358.4988118162587	psi7= 334.21561022297203	psi8= 358.5166684498074	psi9= 344.688432939535	
psi1= 294.9465603322478	psi2= 317.3393028469002	psi3= 335.144183068755	psi4= 317.60715731032894	psi5= 367.42485927784406	psi6= 359.4988118162587	psi7= 335.21561022297203	psi8= 359.5166684498074	psi9= 345.688432939535	
psi1= 295.9465603322478	psi2= 318.3393028469002	psi3= 336.144183068755	psi4= 318.60715731032894	psi5= 368.42485927784406	psi6= 360.4988118162587	psi7= 336.21561022297203	psi8= 360.5166684498074	psi9= 346.688432939535	
psi1= 296.9465603322478	psi2= 319.3393028469002	psi3= 337.144183068755	psi4= 319.60715731032894	psi5= 369.42485927784406	psi6= 361.4988118162587	psi7= 337.21561022297203	psi8= 361.5166684498074	psi9= 347.688432939535	
psi1= 297.9465603322478	psi2= 320.3393028469002	psi3= 338.144183068755	psi4= 320.60715731032894	psi5= 370.42485927784406	psi6= 362.4988118162587	psi7= 338.21561022297203	psi8= 362.5166684498074	psi9= 348.688432939535	
psi1= 298.9465603322478	psi2= 321.3393028469002	psi3= 339.144183068755	psi4= 321.60715731032894	psi5= 371.42485927784406	psi6= 363.4988118162587	psi7= 339.21561022297203	psi8= 363.5166684498074	psi9= 349.688432939535	
psi1= 299.9465603322478	psi2= 322.3393028469002	psi3= 340.144183068755	psi4= 322.60715731032894	psi5= 372.42485927784406	psi6= 364.4988118162587	psi7= 340.21561022297203	psi8= 364.5166684498074	psi9= 350.688432939535	
psi1= 300.9465603322478	psi2= 323.3393028469002	psi3= 341.144183068755	psi4= 323.60715731032894	psi5= 373.42485927784406	psi6= 365.4988118162587	psi7= 341.21561022297203	psi8= 365.5166684498074	psi9= 351.688432939535	
psi1= 301.9465603322478	psi2= 324.3393028469002	psi3= 342.144183068755	psi4= 324.60715731032894	psi5= 374.42485927784406	psi6= 366.4988118162587	psi7= 342.21561022297203	psi8= 366.5166684498074	psi9= 352.688432939535	
psi1= 302.9465603322478	psi2= 325.3393028469002	psi3= 343.144183068755	psi4= 325.60715731032894	psi5= 375.42485927784406	psi6= 367.4988118162587	psi7= 343.21561022297203	psi8= 367.5166684498074	psi9= 353.688432939535	
psi1= 303.9465603322478	psi2= 326.3393028469002	psi3= 344.144183068755	psi4= 326.60715731032894	psi5= 376.42485927784406	psi6= 368.4988118162587	psi7= 344.21561022297203	psi8= 368.5166684498074	psi9= 354.688432939535	
psi1= 304.9465603322478	psi2= 327.3393028469002	psi3= 345.144183068755	psi4= 327.60715731032894	psi5= 377.42485927784406	psi6= 369.4988118162587	psi7= 345.21561022297203	psi8= 369.5166684498074	psi9= 355.688432939535	
psi1= 305.9465603322478	psi2= 328.3393028469002	psi3= 346.144183068755	psi4= 328.60715731032894	psi5= 378.42485927784406	psi6= 370.4988118162587	psi7= 346.21561022297203	psi8= 370.5166684498074	psi9= 356.688432939535	
psi1= 306.9465603322478	psi2= 329.3393028469002	psi3= 347.144183068755	psi4= 329.60715731032894	psi5= 379.42485927784406	psi6= 371.4988118162587	psi7= 347.21561022297203	psi8= 371.5166684498074	psi9= 357.688432939535	
psi1= 307.9465603322478	psi2= 330.3393028469002	psi3= 348.144183068755	psi4= 330.60715731032894	psi5= 380.42485927784406	psi6= 372.4988118162587	psi7= 348.21561022297203	psi8= 372.5166684498074	psi9= 358.688432939535	
psi1= 308.9465603322478	psi2= 331.3393028469002	psi3= 349.144183068755	psi4= 331.60715731032894	psi5= 381.42485927784406	psi6= 373.4988118162587	psi7= 349.21561022297203	psi8= 373.5166684498074	psi9= 359.688432939535	
