RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 89.99999999999993	v1= 0.7173726410740439	v2= 4.998392303000344
t= 90.99999999999993	v1= 0.6964233650910346	v2= 4.998543319479616
t= 91.99999999999993	v1= 0.6301140672807986	v2= 4.998681354859345
t= 92.99999999999991	v1= 0.5701183470965954	v2= 4.998806791059795
t= 93.99999999999991	v1= 0.5158350631637434	v2= 4.998920376795739
t= 94.99999999999991	v1= 0.46672031121997926	v2= 4.999023166147379
t= 95.9999999999999	v1= 0.42228197433746073	v2= 4.9991161728078914
t= 96.9999999999999	v1= 0.38207479204027034	v2= 4.999200325062994
t= 97.9999999999999	v1= 0.3456958989112735	v2= 4.999276465178543
t= 98.9999999999999	v1= 0.31278078798634185	v2= 4.99934535579668
t= 99.99999999999989	v1= 0.282999658490211	v2= 4.9994076871002635
t= 100.99999999999989	v1= 0.3039134863192378	v2= 4.999464083589484
