RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 89.99999999999993	v1= 0.7175223951796172	v2= 4.998502643740781
t= 90.99999999999993	v1= 0.6961568319677145	v2= 4.998644016460762
t= 91.99999999999993	v1= 0.6298729118589406	v2= 4.998773008537878
t= 92.99999999999991	v1= 0.5699001530621464	v2= 4.9988898109842
t= 93.99999999999991	v1= 0.5156376442697276	v2= 4.998995510661504
t= 94.99999999999991	v1= 0.466541689380877	v2= 4.9990911505208695
t= 95.9999999999999	v1= 0.42212035980931056	v2= 4.999177685251762
t= 96.9999999999999	v1= 0.3819285654879044	v2= 4.999255980996409
t= 97.9999999999999	v1= 0.3455635951830037	v2= 4.9993268219969895
t= 98.9999999999999	v1= 0.3126610814335245	v2= 4.999390917979029
t= 99.99999999999989	v1= 0.2828913496845953	v2= 4.9994489111385665
t= 100.99999999999989	v1= 0.3042820626342478	v2= 4.999501382499496
