RC circuit simulation with Forward_Euler :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 89.99999999999993	v1= 0.7129092129852765	v2= 4.998938199397827
t= 90.99999999999993	v1= 0.7416182916867489	v2= 4.99904222608119
t= 91.99999999999993	v1= 0.6674564625180811	v2= 4.999133383957627
t= 92.99999999999991	v1= 0.600710816266273	v2= 4.999219406159364
t= 93.99999999999991	v1= 0.5406397346396457	v2= 4.999297358820793
t= 94.99999999999991	v1= 0.4865757611756811	v2= 4.999367601707006
t= 95.9999999999999	v1= 0.437918185058113	v2= 4.999430836578356
t= 96.9999999999999	v1= 0.39412636655230165	v2= 4.999487751582142
t= 97.9999999999999	v1= 0.3547137298970715	v2= 4.99953897601217
t= 98.9999999999999	v1= 0.31924235690736436	v2= 4.999585078268439
t= 99.99999999999989	v1= 0.2873181212166279	v2= 4.9996265703867495
t= 100.99999999999989	v1= 0.2585863090949651	v2= 4.999663913324854
