The number of iterations: 237
x = 0.1, psi_x1 = 0.04499974060974159
x = 0.2, psi_x2 = 0.0799995072309876
x = 0.30000000000000004, psi_x3 = 0.10499932090748712
x = 0.4, psi_x4 = 0.11999920268298933
x = 0.5, psi_x5 = 0.12499916059549107
x = 0.6000000000000001, psi_x6 = 0.11999920268298933
x = 0.7000000000000001, psi_x7 = 0.10499932090748712
x = 0.8, psi_x8 = 0.0799995072309876
x = 0.9, psi_x9 = 0.04499974060974159
