RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 87.99999999999994	v1= 0.4771743565964065	v2= 0.1772095733089791
t= 88.99999999999994	v1= 0.49797480846543757	v2= 0.18931663153894104
t= 89.99999999999993	v1= 0.5160762014922031	v2= 0.20098949088788357
t= 90.99999999999993	v1= 0.4860633538651782	v2= 0.21008228836402998
t= 91.99999999999993	v1= 0.4169717273659721	v2= 0.21289106017492354
t= 92.99999999999991	v1= 0.3604016126083054	v2= 0.20948938011324722
t= 93.99999999999991	v1= 0.31361247172314777	v2= 0.20201688439922788
t= 94.99999999999991	v1= 0.27452808147497776	v2= 0.19200610890672729
t= 95.9999999999999	v1= 0.24156819077231967	v2= 0.1805453840479948
t= 96.9999999999999	v1= 0.2135235855898046	v2= 0.16839884093547
t= 97.9999999999999	v1= 0.189463295390898	v2= 0.15609474534504744
t= 98.9999999999999	v1= 0.16866560612736575	v2= 0.14399044972056985
t= 99.99999999999989	v1= 0.15056671266720514	v2= 0.1323200899382216
t= 100.99999999999989	v1= 0.18058182186694055	v2= 0.12322955403478032
