RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 17.39999999999999	v1= 0.17883021917488548	v2= 0.13697325400195717
t= 17.599999999999987	v1= 0.17448447580337748	v2= 0.13498200248234005
t= 17.799999999999986	v1= 0.17027004482498154	v2= 0.1329874462565797
t= 17.999999999999986	v1= 0.16618173835504263	v2= 0.13099213871022242
t= 18.199999999999985	v1= 0.16221462004424111	v2= 0.12899843869627742
t= 18.399999999999984	v1= 0.15836399152323755	v2= 0.1270085227012503
t= 18.59999999999998	v1= 0.154625379610165	v2= 0.1250243962905035
t= 18.79999999999998	v1= 0.15099452423734674	v2= 0.12304790487489278
t= 18.99999999999998	v1= 0.14746736705612498	v2= 0.12108074383820129
t= 19.199999999999978	v1= 0.14404004068105122	v2= 0.11912446806260561
t= 19.399999999999974	v1= 0.1407088585369161	v2= 0.11718050088725333
t= 19.599999999999973	v1= 0.13747030527419637	v2= 0.11525014253300071
t= 19.799999999999972	v1= 0.13432102772047586	v2= 0.11333457802444592
t= 19.99999999999997	v1= 0.13125782633726019	v2= 0.11143488463859035
t= 20.19999999999997	v1= 0.13024302215336406	v2= 0.10960701823043063
t= 20.399999999999967	v1= 0.13315441281265236	v2= 0.10794506639422587
t= 20.599999999999966	v1= 0.139841971016336	v2= 0.10651514163959527
t= 20.799999999999965	v1= 0.15016279500422447	v2= 0.10537802956691589
t= 20.999999999999964	v1= 0.16398072809008948	v2= 0.1045895264025012
t= 21.19999999999996	v1= 0.17920062453260724	v2= 0.10414577713573298
t= 21.39999999999996	v1= 0.19381804685842932	v2= 0.10400032749555985
t= 21.59999999999996	v1= 0.20786224018311897	v2= 0.10413051771411808
t= 21.799999999999958	v1= 0.22136087277896543	v2= 0.10451510415466769
t= 21.999999999999954	v1= 0.23434012483152897	v2= 0.10513417544354621
t= 22.199999999999953	v1= 0.24682477212038414	v2= 0.10596907348355397
t= 22.399999999999952	v1= 0.25883826491597356	v2= 0.10700231906631917
t= 22.59999999999995	v1= 0.270402802367663	v2= 0.108217541817501
t= 22.79999999999995	v1= 0.2815394026422377	v2= 0.10959941422405832
t= 22.999999999999947	v1= 0.29226796905714325	v2= 0.1111335895072939
t= 23.199999999999946	v1= 0.30260735243869774	v2= 0.11280664311903053
t= 23.399999999999945	v1= 0.3125754099222381	v2= 0.11460601765113441
t= 23.599999999999945	v1= 0.3221890603986643	v2= 0.11651997096071845
t= 23.79999999999994	v1= 0.33146433680006654	v2= 0.1185375273247754
t= 23.99999999999994	v1= 0.34041643540602	v2= 0.12064843144874982
t= 24.19999999999994	v1= 0.3490597623416737	v2= 0.12284310516369545
t= 24.399999999999938	v1= 0.35740797742890185	v2= 0.12511260665621785
t= 24.599999999999937	v1= 0.3654740355424995	v2= 0.12744859208440273
t= 24.799999999999933	v1= 0.37327022561465	v2= 0.12984327944141336
t= 24.999999999999932	v1= 0.3808082074226441	v2= 0.13228941453643175
t= 25.199999999999932	v1= 0.3880990462870587	v2= 0.13478023897015043
t= 25.39999999999993	v1= 0.3951532458002779	v2= 0.13730945998911684
t= 25.599999999999927	v1= 0.4019807786983358	v2= 0.1398712221099203
t= 25.799999999999926	v1= 0.40859111598255893	v2= 0.14246008041051147
t= 25.999999999999925	v1= 0.41499325439135276	v2= 0.14507097539188127
t= 26.199999999999925	v1= 0.4211957423167048	v2= 0.14769920931892147
t= 26.39999999999992	v1= 0.42720670425452983	v2= 0.15034042395455957
t= 26.59999999999992	v1= 0.4330338638728558	v2= 0.152990579606228
t= 26.79999999999992	v1= 0.4386845657770144	v2= 0.15564593540840835
t= 26.99999999999992	v1= 0.4441657960464447	v2= 0.15830303076940103
t= 27.199999999999918	v1= 0.4494842016134258	v2= 0.16095866791462649
t= 27.399999999999913	v1= 0.45464610855001014	v2= 0.16360989546267968
t= 27.599999999999913	v1= 0.45965753932561526	v2= 0.16625399297404886
t= 27.799999999999912	v1= 0.46452422909414015	v2= 0.1688884564158866
t= 27.99999999999991	v1= 0.4692516410660879	v2= 0.171510984489496
t= 28.199999999999907	v1= 0.4738449810179841	v2= 0.17411946577028256
t= 28.399999999999906	v1= 0.4783092109883754	v2= 0.1767119666128294
t= 28.599999999999905	v1= 0.4826490622068587	v2= 0.179286719776495
t= 28.799999999999905	v1= 0.4868690472999215	v2= 0.18184211372951387
t= 28.999999999999904	v1= 0.4909734718148576	v2= 0.18437668259201392
t= 29.1999999999999	v1= 0.49496644510065213	v2= 0.1868890966806568
t= 29.3999999999999	v1= 0.4988518905824927	v2= 0.18937815361976718
t= 29.5999999999999	v1= 0.5026335554644609	v2= 0.19184276998585265
t= 29.799999999999898	v1= 0.5063150198929709	v2= 0.19428197345433315
t= 29.999999999999897	v1= 0.5098997056116535	v2= 0.1966948954191061
t= 30.1999999999999	v1= 0.5114255091366214	v2= 0.1990257847346068
t= 30.399999999999903	v1= 0.5090148458144371	v2= 0.2011807546215857
t= 30.599999999999902	v1= 0.5028179514826944	v2= 0.2030938895574162
t= 30.799999999999905	v1= 0.49297793208890295	v2= 0.2047045971664362
t= 30.999999999999908	v1= 0.4796311442526175	v2= 0.20595727074981698
t= 31.19999999999991	v1= 0.46487292948943343	v2= 0.20685595121276568
t= 31.39999999999991	v1= 0.4507079169803887	v2= 0.20744727515162778
t= 31.599999999999913	v1= 0.4371070493411104	v2= 0.20775408115311722
t= 31.799999999999915	v1= 0.4240428421417776	v2= 0.20779778822846556
t= 31.999999999999915	v1= 0.41148929523612204	v2= 0.2075984797427753
t= 32.19999999999992	v1= 0.3994218091640698	v2= 0.20717498246215174
t= 32.39999999999992	v1= 0.38781710633618244	v2= 0.20654494100105655
t= 32.59999999999992	v1= 0.37665315672487204	v2= 0.2057248879360162
t= 32.799999999999926	v1= 0.3659091078032136	v2= 0.20473030983645207
t= 32.99999999999992	v1= 0.3555652184871135	v2= 0.20357570944891734
t= 33.199999999999925	v1= 0.34560279685066414	v2= 0.20227466425738078
t= 33.39999999999993	v1= 0.33600414139777973	v2= 0.20083988162933963
t= 33.59999999999993	v1= 0.3267524856857015	v2= 0.1992832507454282
t= 33.79999999999993	v1= 0.3178319461077406	v2= 0.19761589149877157
t= 33.999999999999936	v1= 0.3092274726537231	v2= 0.19584820053957694
t= 34.19999999999994	v1= 0.3009248024770577	v2= 0.193989894630317
t= 34.399999999999935	v1= 0.2929104161072051	v2= 0.19205005146730872
t= 34.59999999999994	v1= 0.28517149615561016	v2= 0.19003714811548997
t= 34.79999999999994	v1= 0.2776958883719132	v2= 0.18795909719471476
t= 34.99999999999994	v1= 0.27047206491549974	v2= 0.18582328094789696
t= 35.199999999999946	v1= 0.26348908971522167	v2= 0.183636583313801
t= 35.39999999999995	v1= 0.25673658579744546	v2= 0.18140542012018304
t= 35.59999999999995	v1= 0.2502047044694824	v2= 0.17913576750629906
t= 35.79999999999995	v1= 0.24388409625196117	v2= 0.1768331886774965
t= 35.99999999999995	v1= 0.23776588345982985	v2= 0.17450285908866947
t= 36.19999999999995	v1= 0.2318416343374499	v2= 0.17214959014776277
t= 36.399999999999956	v1= 0.2261033386586865	v2= 0.16977785152524003
t= 36.59999999999996	v1= 0.2205433847080286	v2= 0.1673917921504635
t= 36.79999999999996	v1= 0.21515453756360362	v2= 0.1649952599712533
t= 36.99999999999996	v1= 0.20992991860750748	v2= 0.16259182054848445
t= 37.19999999999996	v1= 0.20486298619316098	v2= 0.16018477455342367
t= 37.39999999999996	v1= 0.19994751740344868	v2= 0.15777717423159368
t= 37.599999999999966	v1= 0.1951775908372075	v2= 0.15537183889326261
t= 37.79999999999997	v1= 0.19054757036522388	v2= 0.15297136948717996
t= 37.99999999999997	v1= 0.18605208980028293	v2= 0.15057816231090507
t= 38.199999999999974	v1= 0.18168603842900266	v2= 0.14819442190798765
t= 38.39999999999997	v1= 0.17744454735619206	v2= 0.14582217319935115
t= 38.59999999999997	v1= 0.17332297661530452	v2= 0.14346327289349017
t= 38.799999999999976	v1= 0.16931690300122734	v2= 0.14111942021751053
t= 38.99999999999998	v1= 0.1654221085841637	v2= 0.13879216700860766
t= 39.19999999999998	v1= 0.16163456986573402	v2= 0.1364829272032872
t= 39.399999999999984	v1= 0.15795044754065773	v2= 0.13419298575947056
t= 39.59999999999999	v1= 0.15436607682948209	v2= 0.1319235070445941
t= 39.79999999999998	v1= 0.15087795834980794	v2= 0.12967554272089202
t= 39.999999999999986	v1= 0.14748274949533327	v2= 0.12745003915724654
t= 40.19999999999999	v1= 0.14614263129379612	v2= 0.12530282371795504
t= 40.39999999999999	v1= 0.1487352643815075	v2= 0.1233278578872023
