RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 87.99999999999994	v1= 0.4784580466919414	v2= 0.1868593130264922
t= 88.99999999999994	v1= 0.4998277795010522	v2= 0.19912241602431857
t= 89.99999999999993	v1= 0.518410093364529	v2= 0.21074022143997986
t= 90.99999999999993	v1= 0.48760139733399166	v2= 0.21638258412456102
t= 91.99999999999993	v1= 0.41883710496649945	v2= 0.21373172939098772
t= 92.99999999999991	v1= 0.3621685288234773	v2= 0.20659405680984166
t= 93.99999999999991	v1= 0.3150352518486223	v2= 0.1965672948723047
t= 94.99999999999991	v1= 0.27547499561482414	v2= 0.18478553804342604
t= 95.9999999999999	v1= 0.2419765190311796	v2= 0.17202594132548166
t= 96.9999999999999	v1= 0.2133681420467061	v2= 0.1590638438748596
t= 97.9999999999999	v1= 0.18875601645284795	v2= 0.14637297274231784
t= 98.9999999999999	v1= 0.16744799398183474	v2= 0.13417818959164882
t= 99.99999999999989	v1= 0.1488960754362218	v2= 0.1226190643135732
t= 100.99999999999989	v1= 0.17968904266258084	v2= 0.11696882881630515
