RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 17.39999999999999	v1= 0.17865266296977567	v2= 0.13854201196875238
t= 17.599999999999987	v1= 0.17434400395737426	v2= 0.13656966370564985
t= 17.799999999999986	v1= 0.1701655735178196	v2= 0.13459146175841075
t= 17.999999999999986	v1= 0.16611217706406528	v2= 0.13261013787456175
t= 18.199999999999985	v1= 0.16217887523450997	v2= 0.13062821734469846
t= 18.399999999999984	v1= 0.15836096996442256	v2= 0.1286480319653587
t= 18.59999999999998	v1= 0.15465399135009672	v2= 0.126671732228289
t= 18.79999999999998	v1= 0.15105368525992888	v2= 0.12470129878153147
t= 18.99999999999998	v1= 0.14755600164927404	v2= 0.12273855320510568
t= 19.199999999999978	v1= 0.14415708353843995	v2= 0.12078516814156123
t= 19.399999999999974	v1= 0.14085325661554005	v2= 0.11884267681932356
t= 19.599999999999973	v1= 0.1376410194281489	v2= 0.11691248200454038
t= 19.799999999999972	v1= 0.13451703412979676	v2= 0.11499586441504903
t= 19.99999999999997	v1= 0.13147811774931156	v2= 0.11309399062812056
t= 20.19999999999997	v1= 0.1304866089528739	v2= 0.11122512051178583
t= 20.399999999999967	v1= 0.1334195977242059	v2= 0.10944874181436437
t= 20.599999999999966	v1= 0.1401257116264328	v2= 0.10783668359119147
t= 20.799999999999965	v1= 0.15046086614022025	v2= 0.10645506207762075
t= 20.999999999999964	v1= 0.16428787044428086	v2= 0.1053646437188413
t= 21.19999999999996	v1= 0.17951068055830122	v2= 0.10460398645488499
t= 21.39999999999996	v1= 0.19412481110381777	v2= 0.10416563293270008
t= 21.59999999999996	v1= 0.20816021077704344	v2= 0.10402530519645263
t= 21.799999999999958	v1= 0.22164519286871306	v2= 0.1041602484052462
t= 21.999999999999954	v1= 0.2346065283624622	v2= 0.10454913995829124
t= 22.199999999999953	v1= 0.24706953365328002	v2= 0.10517200395597046
t= 22.399999999999952	v1= 0.25905815319855263	v2= 0.1060101306851554
t= 22.59999999999995	v1= 0.2705950373960267	v2= 0.10704600083529925
t= 22.79999999999995	v1= 0.28170161596589594	v2= 0.10826321416894062
t= 22.999999999999947	v1= 0.2923981670980835	v2= 0.10964642238636679
t= 23.199999999999946	v1= 0.3027038826106015	v2= 0.11118126593935947
t= 23.399999999999945	v1= 0.31263692935056403	v2= 0.11285431456323637
